V number,R core,R cladding, n core,n cladding,NA,LP01 eff,LP11 eff,LP21 eff,LP02 eff,dneff1,dneff2,dneff3,,,,,,,,,,,,,
4.1,5.97E-06,6.25E-05,1.4539,1.444,0.169379,1.4517,1.4485,1.4447,1.4441,0.0032,0.0038,0.0006,,,,,,,,,,,,,
4.1,5.94E-06,6.25E-05,1.454,1.444,0.170235,1.4518,1.4486,1.4447,1.4442,0.0032,0.0039,0.0005,,,,,,,,,,,,,
4.1,5.91E-06,6.25E-05,1.4541,1.444,0.171087,1.4519,1.4486,1.4447,1.4442,0.0033,0.0039,0.0005,,,,,,,,,,,,,
4.1,5.88E-06,6.25E-05,1.4542,1.444,0.171935,1.452,1.4487,1.4447,1.4442,0.0033,0.004,0.0005,,,,,,,,,,,,,
4.1,5.85E-06,6.25E-05,1.4543,1.444,0.172779,1.452,1.4487,1.4447,1.4442,0.0033,0.004,0.0005,,,,,,,,,,,,,
4.1,5.83E-06,6.25E-05,1.4544,1.444,0.173618,1.4521,1.4488,1.4448,1.4442,0.0033,0.004,0.0006,,,,,,,,,,,,,
4.1,5.80E-06,6.25E-05,1.4545,1.444,0.174454,1.4522,1.4488,1.4448,1.4442,0.0034,0.004,0.0006,,,,,,,,,,,,,
4.1,5.77E-06,6.25E-05,1.4546,1.444,0.175286,1.4523,1.4489,1.4448,1.4442,0.0034,0.0041,0.0006,,,,,,,,,,,,,
4.1,5.74E-06,6.25E-05,1.4547,1.444,0.176114,1.4524,1.4489,1.4448,1.4442,0.0035,0.0041,0.0006,,,,,,,,,,,,,
4.1,5.72E-06,6.25E-05,1.4548,1.444,0.176938,1.4524,1.449,1.4448,1.4442,0.0034,0.0042,0.0006,,,,,,,,,,,,,
4.1,5.69E-06,6.25E-05,1.4549,1.444,0.177758,1.4525,1.449,1.4448,1.4442,0.0035,0.0042,0.0006,,,,,,,,,,,,,
4.1,5.66E-06,6.25E-05,1.455,1.444,0.178575,1.4526,1.449,1.4448,1.4442,0.0036,0.0042,0.0006,,,,,,,,,,,,,
4.1,5.64E-06,6.25E-05,1.4551,1.444,0.179388,1.4527,1.4491,1.4448,1.4442,0.0036,0.0043,0.0006,,,,,,,,,,,,,
4.1,5.61E-06,6.25E-05,1.4552,1.444,0.180197,1.4527,1.4491,1.4448,1.4442,0.0036,0.0043,0.0006,,,,,,,,,,,,,
4.1,5.59E-06,6.25E-05,1.4553,1.444,0.181003,1.4528,1.4492,1.4448,1.4442,0.0036,0.0044,0.0006,,,,,,,,,,,,,
4.1,5.56E-06,6.25E-05,1.4554,1.444,0.181805,1.4529,1.4492,1.4448,1.4442,0.0037,0.0044,0.0006,,,,,,,,,,,,,
4.1,5.54E-06,6.25E-05,1.4555,1.444,0.182604,1.453,1.4493,1.4448,1.4442,0.0037,0.0045,0.0006,,,,,,,,,,,,,
4.1,5.51E-06,6.25E-05,1.4556,1.444,0.183399,1.4531,1.4493,1.4448,1.4442,0.0038,0.0045,0.0006,,,,,,,,,,,,,
4.1,5.49E-06,6.25E-05,1.4557,1.444,0.184191,1.4531,1.4494,1.4449,1.4442,0.0037,0.0045,0.0007,,,,,,,,,,,,,
4.1,5.47E-06,6.25E-05,1.4558,1.444,0.18498,1.4532,1.4494,1.4449,1.4442,0.0038,0.0045,0.0007,,,,,,,,,,,,,
4.1,5.44E-06,6.25E-05,1.4559,1.444,0.185765,1.4533,1.4495,1.4449,1.4442,0.0038,0.0046,0.0007,,,,,,,,,,,,,
4.1,5.42E-06,6.25E-05,1.456,1.444,0.186548,1.4534,1.4495,1.4449,1.4442,0.0039,0.0046,0.0007,,,,,,,,,,,,,
4.1,5.40E-06,6.25E-05,1.4561,1.444,0.187326,1.4535,1.4496,1.4449,1.4442,0.0039,0.0047,0.0007,,,,,,,,,,,,,
4.1,5.38E-06,6.25E-05,1.4562,1.444,0.188102,1.4535,1.4496,1.4449,1.4442,0.0039,0.0047,0.0007,,,,,,,,,,,,,
4.1,5.36E-06,6.25E-05,1.4563,1.444,0.188875,1.4536,1.4497,1.4449,1.4442,0.0039,0.0048,0.0007,,,,,,,,,,,,,
4.1,5.33E-06,6.25E-05,1.4564,1.444,0.189644,1.4537,1.4497,1.4449,1.4442,0.004,0.0048,0.0007,,,,,,,,,,,,,
4.1,5.31E-06,6.25E-05,1.4565,1.444,0.190411,1.4538,1.4497,1.4449,1.4442,0.0041,0.0048,0.0007,,,,,,,,,,,,,
4.1,5.29E-06,6.25E-05,1.4566,1.444,0.191174,1.4538,1.4498,1.4449,1.4442,0.004,0.0049,0.0007,,,,,,,,,,,,,
4.1,5.27E-06,6.25E-05,1.4567,1.444,0.191935,1.4539,1.4498,1.4449,1.4442,0.0041,0.0049,0.0007,,,,,,,,,,,,,
4.1,5.25E-06,6.25E-05,1.4568,1.444,0.192692,1.454,1.4499,1.4449,1.4442,0.0041,0.005,0.0007,,,,,,,,,,,,,
4.1,5.23E-06,6.25E-05,1.4569,1.444,0.193447,1.4541,1.4499,1.4449,1.4442,0.0042,0.005,0.0007,,,,,,,,,,,,,
4.1,5.21E-06,6.25E-05,1.457,1.444,0.194198,1.4542,1.45,1.445,1.4442,0.0042,0.005,0.0008,,,,,,,,,,,,,
4.1,5.19E-06,6.25E-05,1.4571,1.444,0.194947,1.4542,1.45,1.445,1.4442,0.0042,0.005,0.0008,,,,,,,,,,,,,
4.1,5.17E-06,6.25E-05,1.4572,1.444,0.195693,1.4543,1.4501,1.445,1.4442,0.0042,0.0051,0.0008,,,,,,,,,,,,,
4.1,5.15E-06,6.25E-05,1.4573,1.444,0.196436,1.4544,1.4501,1.445,1.4442,0.0043,0.0051,0.0008,,,,,,,,,,,,,
4.1,5.13E-06,6.25E-05,1.4574,1.444,0.197177,1.4545,1.4502,1.445,1.4442,0.0043,0.0052,0.0008,,,,,,,,,,,,,
4.1,5.11E-06,6.25E-05,1.4575,1.444,0.197915,1.4545,1.4502,1.445,1.4442,0.0043,0.0052,0.0008,,,,,,,,,,,,,
4.1,5.09E-06,6.25E-05,1.4576,1.444,0.19865,1.4546,1.4502,1.445,1.4442,0.0044,0.0052,0.0008,,,,,,,,,,,,,
4.1,5.07E-06,6.25E-05,1.4577,1.444,0.199382,1.4547,1.4503,1.445,1.4442,0.0044,0.0053,0.0008,,,,,,,,,,,,,
4.1,5.05E-06,6.25E-05,1.4578,1.444,0.200112,1.4548,1.4503,1.445,1.4442,0.0045,0.0053,0.0008,,,,,,,,,,,,,
4.1,5.04E-06,6.25E-05,1.4579,1.444,0.200839,1.4549,1.4504,1.445,1.4442,0.0045,0.0054,0.0008,,,,,,,,,,,,,
4.1,5.02E-06,6.25E-05,1.458,1.444,0.201564,1.4549,1.4504,1.445,1.4442,0.0045,0.0054,0.0008,,,,,,,,,,,,,
4.1,5.00E-06,6.25E-05,1.4581,1.444,0.202286,1.455,1.4505,1.445,1.4442,0.0045,0.0055,0.0008,,,,,,,,,,,,,
4.1,4.98E-06,6.25E-05,1.4582,1.444,0.203006,1.4551,1.4505,1.445,1.4442,0.0046,0.0055,0.0008,,,,,,,,,,,,,
4.1,4.96E-06,6.25E-05,1.4583,1.444,0.203723,1.4552,1.4506,1.445,1.4442,0.0046,0.0056,0.0008,,,,,,,,,,,,,
4.1,4.95E-06,6.25E-05,1.4584,1.444,0.204437,1.4553,1.4506,1.4451,1.4442,0.0047,0.0055,0.0009,,,,,,,,,,,,,
4.1,4.93E-06,6.25E-05,1.4585,1.444,0.205149,1.4553,1.4507,1.4451,1.4442,0.0046,0.0056,0.0009,,,,,,,,,,,,,
4.1,4.91E-06,6.25E-05,1.4586,1.444,0.205859,1.4554,1.4507,1.4451,1.4442,0.0047,0.0056,0.0009,,,,,,,,,,,,,
4.1,4.90E-06,6.25E-05,1.4587,1.444,0.206566,1.4555,1.4507,1.4451,1.4442,0.0048,0.0056,0.0009,,,,,,,,,,,,,
